"PROVIDER_NAME","PROVIDER_NUMBER","PROVIDER_STREET","PROVIDER_CITY","PROVIDER_COUNTY","PROVIDER_STATE","PROVIDER_ZIP_CODE","PROVIDER_ZIP_CODE_PLUS_4","PROGRAM_NAME","PROGRAM_NUMBER","PROGRAM_COUNTY","PROGRAM_STREET_ADDRESS","PROGRAM_CITY","PROGRAM_STATE","PROGRAM_ZIP_CODE","PROGRAM_ZIP_CODE_PLUS_4","PROGRAM_DIRECTOR","PROGRAM_DIRECTOR_EMAIL","PROGRAM_DIRECTOR_TELEPHONE","PROGRAM_DIRECTOR_PHONE_EXTENSION","PROGRAM_TYPE","SERVICE_TYPE","ADMISSION_PHONE","ADMISSION_PHONE_EXT","TELEHEALTH_SERVICES","ADOLESCENT_DESIGNATION","PROBLEM_GAMBLING","INTEGRATED_LICENSE_SERVICE","PARENTS_WITH_CHILDREN","LGBTQ_ENDORSEMNT","ADDITIONAL_LOCATION_STREET","ADDITIONAL_LOCATION_CITY","ADDITIONAL_LOCATION_ZIP","ADDITIONAL_LOCATION_COUNTYNAME"
"Dynamic Youth Community Inc","105","1830 Coney Island Ave","Brooklyn","Kings","NY","11230","6502","Dynamic Youth Community Inc OP","528","Kings","1830 Coney Island Ave","Brooklyn","NY","11230","6502","Mr. James Schneider CASAC","jschneider@dycinc.org","7183767923","","Outpatient Services","Outpatient Clinic","7183767923","","Y","","","","","","1808 Coney Island Avenue","Brooklyn","11230","Kings"
"El Regreso, Inc.","1522","141 South 3rd Street","Brooklyn","Kings","NY","11211","5509","El Regreso Inc., SRR","53566","Kings","141-143 S 3rd St","Brooklyn","NY","11211","5509","Mr. Jonathan Sesman LMSW","jsesman@elregreso.org","7183846400","","Residential Services","820 Stabil Rehab Reintegration","","","","","","","","","","","",""
"El Regreso, Inc.","1522","141 South 3rd Street","Brooklyn","Kings","NY","11211","5509","El Regreso, Inc. Men's Residential SRR","53815","Kings","189 S 2nd St","Brooklyn","NY","11211","","Mr. Jonathan Sesman LMSW","jsesman@elregreso.org","7183846400","","Residential Services","820 Stabil Rehab Reintegration","","","","","","","","","","","",""
"El Regreso, Inc.","1522","141 South 3rd Street","Brooklyn","Kings","NY","11211","5509","El Regreso, Inc. OP","6321","Kings","141-143 S 3rd St","Brooklyn","NY","11211","","Ms. Maricella Gilbert LCSW","mgilbert@elregreso.org","7187826802","8581","Outpatient Services","Outpatient Clinic","","","Y","","","Mental Health","","","","","",""
"Genesis Detox of Brooklyn, LLC","49600","449 39th Street","Brooklyn","Kings","NY","11232","2909","Genesis Detox of Brooklyn, LLC MSW IP","53059","Kings","449 39th St","Brooklyn","NY","11232","2909","Ms. Connie Pentony-Brown","cpb@genesisdob.com","7186334673","104","Crisis Services","Med Sup Withdrawal - Inpatient","7186334673","101","","","","","","","","","",""
"Genesis Detox of Brooklyn, LLC","49600","449 39th Street","Brooklyn","Kings","NY","11232","2909","Genesis DOB Outpatient OP","53790","Kings","449 39th St","Brooklyn","NY","11232","","Ms. Connie Pentony-Brown","cpb@genesisdob.com","7186334673","104","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Hands On Health Associates, LLC","48040","249 Pennsylvania Ave","Brooklyn","Kings","NY","11207","3436","Hands On Health Associates, LLC OP","52619","Kings","249 Pennsylvania Ave","Brooklyn","NY","11207","3436","Barukho Babayeva CASAC","bbabayeva@handsonny.com","3475473626","1007","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"HealthCare Choices NY, Inc.","49950","6209 16th Ave","Brooklyn","Kings","NY","11204","2702","HealthCare Choices NY, Inc. OP","53210","Kings","6209 16th Ave","Brooklyn","NY","11204","","Gilbert M Bell","gmbell@healthcarechoicesny.org","7182340073","","Outpatient Services","Outpatient Clinic","7182340073","","Y","","","","","","","","",""
"Housing Works Community Healthcare","48960","57 Willoughby St","Brooklyn","Kings","NY","11201","","Housing Works Community Healthcare OP","52958","Kings","2640 Pitkin Ave","Brooklyn","NY","11208","","Megan Dougherty","m.dougherty@housingworks.org","9176536117","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Institute for Community Living, Inc.","19340","125 Broad St","New York","Kings","NY","10004","","Institute for Community Living, Inc OP","53544","Kings","2581 Atlantic Ave","Brooklyn","NY","11207","","Hope Mitchell LMSW","Drucilla.williams@iclinc.net","9296261070","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Jewish Board - Family & Children's Ser","21290","463 7th Ave","New York","New York","NY","10018","7604","Jewish Board - Family/Child Srvcs OP","53786","Kings","1007 Quentin Rd","Brooklyn","NY","11223","2341","Christine Kajetzke LCSW","ckajetzke@jbfcs.org","7189983235","3","Outpatient Services","Outpatient Clinic","7189983235","3","Y","","","","","","","","",""
"Journeys","49320","1049 38th St","Brooklyn","Kings","NY","11219","1012","Journeys OP","52957","Kings","1049 38th St","Brooklyn","NY","11219","","Dr. Irwin Lenefsky","ilenefsky@yahoo.com","7187040200","103","Outpatient Services","Outpatient Clinic","7187040200","103","Y","","","","","","","","",""
"Kings County Hospital Center (HHC)","87030","451 Clarkson Ave","Brooklyn","Kings","NY","11203","","Kings Co. Hosp. OTP 2","920","Kings","591 Kingston Ave","Brooklyn","NY","11203","","Ms. Maria West CASAC","Maria.West@nychhc.org","7182452635","","Outpatient Services","Opioid Outpatient Treatment","7182452631","","Y","","","","","Y","","","",""
"Kings County Hospital Center (HHC)","87030","451 Clarkson Ave","Brooklyn","Kings","NY","11203","","Kings County Hosp. Cntr. (HHC) OP R 1","53163","Kings","451 Clarkson Ave","Brooklyn","NY","11203","","Ms. Sasha Ashton CASAC","Sasha.Ashton@nychhc.org","7182454326","","Outpatient Services","Outpatient Rehabilitation","","","Y","","","","","Y","","","",""
"Kings County Hospital Center (HHC)","87030","451 Clarkson Ave","Brooklyn","Kings","NY","11203","","Kings County Hospital Center (HHC) OP","51909","Kings","451 Clarkson Ave","Brooklyn","NY","11203","","Ms. Sasha Ashton CASAC","Sasha.Ashton@nychhc.org","7182454878","","Outpatient Services","Outpatient Clinic","","","Y","","","","","Y","","","",""
"Kingsboro Addiction Treatment Center","90014","754 Lexington Avenue","Brooklyn","Kings","NY","11221","2944","Kingsboro ATC IP","53442","Kings","754 Lexington Ave","Brooklyn","NY","11221","2944","Ms. Vibeke Velez","Vibeke.Velez@oasas.ny.gov","7184533200","3474","Inpatient Treatment Services","Inpatient Rehabilitation","","","Y","","Y","","","","","","",""
"Kingsboro Addiction Treatment Center","90014","754 Lexington Avenue","Brooklyn","Kings","NY","11221","2944","Kingsboro ATC MSW IP","51996","Kings","754 Lexington Ave","Brooklyn","NY","11221","2944","Ms. Vibeke Velez","Vibeke.Velez@oasas.ny.gov","7184533200","3474","Crisis Services","Med Sup Withdrawal - Inpatient","","","Y","","","","","","","","",""
"LSA Recovery (IDCC)","15410","1623 Kings Hwy","Brooklyn","Kings","NY","11229","1209","IDCC Coney Island OCCBHC","53966","Kings","2846 Stillwell Ave","Brooklyn","NY","11224","","Dr. Stephen Gersten PhD","sgersten@interborough.org","9292737601","427","Outpatient Services","Crtfd Cmty Behavioral Hlth Clnc","","","Y","","","OMH Hosted","","","2846 Stillwell Avenue","Brooklyn","11224","Kings"
"LSA Recovery (IDCC)","15410","1623 Kings Hwy","Brooklyn","Kings","NY","11229","1209","IDCC Coney Island OCCBHC","53966","Kings","2846 Stillwell Ave","Brooklyn","NY","11224","","Dr. Stephen Gersten PhD","sgersten@interborough.org","9292737601","427","Outpatient Services","Crtfd Cmty Behavioral Hlth Clnc","","","Y","","","OMH Hosted","","","921 East New York Avenue","Brooklyn","11203","Kings"
"LSA Recovery (IDCC)","15410","1623 Kings Hwy","Brooklyn","Kings","NY","11229","1209","LSA Recovery (IDCC) OP","53511","Kings","1623 Kings Hwy","Brooklyn","NY","11229","","Ms. Ertuania Jorge CASAC","ejorge@lsarecovery.org","9733429106","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","2846 Stillwell Avenue","Brooklyn","11224","Kings"
"LSA Recovery (IDCC)","15410","1623 Kings Hwy","Brooklyn","Kings","NY","11229","1209","LSA Recovery (IDCC) OP","53511","Kings","1623 Kings Hwy","Brooklyn","NY","11229","","Ms. Ertuania Jorge CASAC","ejorge@lsarecovery.org","9733429106","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","921 East New York Avenue","Brooklyn","11203","Kings"
"N. Crown Heights Family Outreach Ctr","42930","763-765 Nostrand Ave","Brooklyn","Kings","NY","11216","4203","N. Crown Heights Family Outreach OP","51973","Kings","763-765 Nostrand Ave","Brooklyn","NY","11216","","Ms. Susana Dobrer","nchfoc@aol.com","7182308600","","Outpatient Services","Outpatient Clinic","7182308600","","Y","","","","","","","","",""
"New York Psychotherapy & Counslng Cntr","15450","176-20 148th Ave","Jamaica","Queens","NY","11434","","New York Psychthrpy & Counslng Cntr OP","53883","Kings","102 Pilling St","Brooklyn","NY","11207","","Jill Mastrandrea","jmastrandrea@nypcc.org","7187049870","","Outpatient Services","Outpatient Clinic","7187049870","","Y","","","","","","","","",""
"New York Therapeutic Communities, Inc.","587","266 W 37th St","New York","New York","NY","10018","","NY Therapeutic Communities, Inc. OP","51994","Kings","2071 Fulton St","Brooklyn","NY","11233","3331","Ms. Susan James CASAC","sjames@staynout.org","3477708650","","Outpatient Services","Outpatient Clinic","3477708650","","Y","","","","","","","","",""
"New York Therapeutic Communities, Inc.","587","266 W 37th St","New York","New York","NY","10018","","Serendipity I John David Cntr IR","5682","Kings","2071 Fulton St","Brooklyn","NY","11233","","Mr. Cesar A Sosa CASAC","csosa@staynout.org","7183980096","","Residential Services","Intensive Residential","7183980096","","","","","","","","","","",""
"New York Therapeutic Communities, Inc.","587","266 W 37th St","New York","New York","NY","10018","","Serendipity II Madeline Randers Ctr IR","7191","Kings","944 Bedford Ave","Brooklyn","NY","11205","","Mrs. Twanna Warren CASAC","twarren@staynout.org","7188020572","","Residential Services","Intensive Residential","7188020572","","","","","","","","","","",""
"NYC Health + Hospitals/S Brooklyn Hlth","87050","2925 West 19 Street","Brooklyn","Kings","NY","11224","","NYC Health+Hospitals/SBrooklyn Hlth OP","50320","Kings","2925 W 19th St","Brooklyn","NY","11224","","Mr. Sal Florio LCSW","Sal.Florio@nychhc.org","7186166031","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Ohel Children's and Family Services","19210","1268 E 14th St","Brooklyn","Kings","NY","11230","5241","Ohel Children Home& Famly Srvcs OCCBHC","53958","Kings","1268 E 14th St","Brooklyn","NY","11230","","Mr. Shalom Augenbaum","shalom_augenbaum@ohelfamily.org","7188516300","","Outpatient Services","Crtfd Cmty Behavioral Hlth Clnc","","","","","","OMH Hosted","","","156 Beach 9th Street","Far Rockaway","11691","Queens"
"Outreach Development Corporation","31360","117-11 Myrtle Ave","Richmond Hill","Queens","NY","11418","1751","Outreach Development Corporation OP","51847","Kings","960 Manhattan Ave","Brooklyn","NY","11222","1625","Ms. Jessica Shuren","Christymathurin@opiny.org","7183837200","","Outpatient Services","Outpatient Clinic","7183837200","","Y","","","","","","","","",""
"Pesach Tikvah-Hope Development, Inc.","21890","926 Bedford Ave","Brooklyn","Kings","NY","11205","5191","Pesach Tikvah-Hope Dvlpmnt Inc. OP","53708","Kings","926 Bedford Ave","Brooklyn","NY","11205","","Yechiel Benedikt","ybenedikt@pesachtikvah.org","8482233804","","Outpatient Services","Outpatient Clinic","3475630185","","","","","","","","","","",""
"PROMESA, Inc.","166","311 east 175 street","Bronx","Bronx","NY","10457","","PROMESA, Inc. COP3","53930","Kings","561 Court St","Brooklyn","NY","11231","","Evelyn Munoz","emunoz@promesa.org","7187807409","","Outpatient Services","Comprehensive Outpatient Clinic","","","Y","","","Mental Health","","","","","",""
"Realization Center, Inc.","27270","19 Union Square W","New York","New York","NY","10003","3304","Realization Center, Inc. OP 1","7393","Kings","175 Remsen St","Brooklyn","NY","11201","4300","Ms. Wilda Molina CASAC","wm@realizationcenternyc.com","2126279660","","Outpatient Services","Outpatient Clinic","7183426700","","Y","","","","","","","","",""
"Seek Counseling, LLC.","52820","44 77th St","Brooklyn","Kings","NY","11209","","Seek Counseling, LLC. OP","53753","Kings","408 77th St","Brooklyn","NY","11209","","Natalie Faladova","nfaladova@sharehcc.com","7188333320","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"South Brooklyn Medical Admin Srvs Inc.","553","685 Third Avenue","Brooklyn","Kings","NY","11232","1108","S Brooklyn Medical Admin Srvs Inc. OTP","1479","Kings","685 3rd Avenue","Brooklyn","NY","11232","","Ms. Alexis Bosco","sobro685@aol.com","7187882594","117","Outpatient Services","Opioid Outpatient Treatment","7187882594","106","","","","","","","","","",""
"South Richmond Hill Recovery, LLC","49820","88-08 Liberty Avenue","Ozone Park","Queens","NY","11417","","South Richmond Hill Recovery, LLC OP 2","53709","Kings","630 Flushing Ave","Brooklyn","NY","11206","","Mr. John J Saith","jsaith@srhrny.com","9294993420","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Spring Hill Wellness New York, LLC","51760","4105 Avenue V","Brooklyn","Kings","NY","11234","5157","Spring Hill Wellness New York LLC OP-R","53584","Kings","41-05 Avenue V","Brooklyn","NY","11234","5157","Hawa Jalloh","hawa@shwny.com","7186891313","102","Outpatient Services","Outpatient Rehabilitation","","","Y","","","","","","","","",""
"Spring Hill Wellness New York, LLC","51760","4105 Avenue V","Brooklyn","Kings","NY","11234","5157","Spring Hill Wellness New York, LLC OP","53583","Kings","41-05 Avenue V","Brooklyn","NY","11234","5157","Samantha J Nettleson","samantha@springgardensrecovery.com","8137674136","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"St. Joseph's Hospital, Yonkers","81050","127 S Broadway","Yonkers","Westchester","NY","10701","4006","Alabama Clinic OTP","52570","Kings","480 Alabama Ave","Brooklyn","NY","11207","5706","Ms. Andrea Fullerton CASAC","afullerton@svwsjmc.org","7185587240","","Outpatient Services","Opioid Outpatient Treatment","7184853400","","","","","","","","","","",""
"St. Joseph's Hospital, Yonkers","81050","127 S Broadway","Yonkers","Westchester","NY","10701","4006","Powell Clinic OTP","52566","Kings","211-221 Powell St","Brooklyn","NY","11212","8134","Cecilia Pilgrim CASAC","cpilgrim@svwsjmc.org","7184856000","","Outpatient Services","Opioid Outpatient Treatment","7184856000","","","","","","","","","","",""
"START Treatment & Recovery Centers","47570","937 Fulton St.","Brooklyn","Kings","NY","11238","","ARTC Bushwick MMTP OTP","80","Kings","1149-55 Myrtle Ave","Brooklyn","NY","11206","6007","Melissa Lattanzio CASAC","mlattanzio@startny.org","3479572137","","Outpatient Services","Opioid Outpatient Treatment","","","Y","","","","","","","","",""
"START Treatment & Recovery Centers","47570","937 Fulton St.","Brooklyn","Kings","NY","11238","","East New York Clinic OTP","78","Kings","494 Dumont Ave","Brooklyn","NY","11207","5017","Malissa Wynter CASAC","mwynter@startny.org","7183451178","","Outpatient Services","Opioid Outpatient Treatment","","","Y","","","","","","","","",""
"START Treatment & Recovery Centers","47570","937 Fulton St.","Brooklyn","Kings","NY","11238","","Fort Greene Clinic OTP","7","Kings","937 Fulton St","Brooklyn","NY","11238","2347","Ms. Morgan Schulman","mschulman@startny.org","3475858381","","Outpatient Services","Opioid Outpatient Treatment","","","Y","","","","","","","","",""
"Staten Island University Hospital","85200","475 Seaview Ave","Staten Island","Richmond","NY","10305","3436","Staten Island University Hosp. OTP 3","7150","Kings","567 E 105th St","Brooklyn","NY","11236","","Ms. Cyleen Peters","cpeters3@northwell.edu","7182264930","4944","Outpatient Services","Opioid Outpatient Treatment","7182264905","","Y","","","","","","","","",""
"Sun River Health","34370","1037 Main Street","Peekskill","Westchester","NY","10566","2913","Alpha School 822 Program OP","53298","Kings","2400 Linden Blvd","Brooklyn","NY","11208","4830","Ms. Lorna R Johnson CSW-R","ljohnson@sunriver.org","7182575800","","Outpatient Services","Outpatient Clinic","7182575800","","Y","","","","","","","","",""
"Surfpoint Recovery, LLC","51930","2316 Surf Ave","Brooklyn","Kings","NY","11224","2113","Surfpoint Recovery, LLC IP","53675","Kings","2316 Surf Ave","Brooklyn","NY","11224","","Alet Coke","acoke@surfpointrecovery.com","6463441893","","Inpatient Treatment Services","Inpatient Rehabilitation","9177749899","","Y","","","","","","","","",""
"Surfpoint Recovery, LLC","51930","2316 Surf Ave","Brooklyn","Kings","NY","11224","2113","Surfpoint Recovery, LLC MSW-IP","53684","Kings","2316 Surf Ave","Brooklyn","NY","11224","","Alet Coke","acoke@surfpointrecovery.com","9175758952","","Crisis Services","Med Sup Withdrawal - Inpatient","","","Y","","","","","","","","",""
"T.R.I. Center, Inc.","16350","20 West 37th Street","New York","New York","NY","10018","","T.R.I. Center, Inc. OP 2","6402","Kings","175 Remsen St","Brooklyn","NY","11201","","Mr. mary brannon","tricenter@msn.com","7188584050","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"The Brookdale Hospital Medical Center","86040","1545 Atlantic Ave","Brooklyn","Kings","NY","11213","","Brookdale Hospital Medical Center IP","53746","Kings","1545 Atlantic Ave","Brooklyn","NY","11213","","Ms. Suzette Collier RCSW","scollier@interfaithmedical.org","7186137511","","Inpatient Treatment Services","Inpatient Rehabilitation","7186134194","","Y","","","","","","","","",""
"The Brookdale Hospital Medical Center","86040","1545 Atlantic Ave","Brooklyn","Kings","NY","11213","","Brookdale Hospital Medical Center MMD","53747","Kings","1545 Atlantic Ave","Brooklyn","NY","11213","","Ms. Suzette Collier RCSW","scollier@interfaithmedical.org","7186137511","","Crisis Services","Medical Managed Detoxification","7186134194","","Y","","","","","","","","",""
"The Brookdale Hospital Medical Center","86040","1545 Atlantic Ave","Brooklyn","Kings","NY","11213","","Brookdale Hospital Medical Center OP","53745","Kings","528 Prospect Place","Brooklyn","NY","11238","","Ms. Suzette Collier RCSW","scollier@interfaithmedical.org","7186137511","","Outpatient Services","Outpatient Clinic","7186134448","","Y","","","","","","","","",""
"The Brookdale Hospital Medical Center","86040","1545 Atlantic Ave","Brooklyn","Kings","NY","11213","","Brookdale Hospital Medical Center OP-R","53744","Kings","528 Prospect Place","Brooklyn","NY","11238","4205","Ms. Suzette Collier RCSW","scollier@interfaithmedical.org","7186137511","","Outpatient Services","Outpatient Rehabilitation","7186134448","","Y","","","","","","","","",""
"The Brookdale Hospital Medical Center","86040","1545 Atlantic Ave","Brooklyn","Kings","NY","11213","","Interfaith Medical Center MMTP OTP","53748","Kings","880 Bergen Street","Brooklyn","NY","11238","","Ms. Suzette Collier RCSW","scollier@interfaithmedical.org","7186137511","","Outpatient Services","Opioid Outpatient Treatment","7186137514","","Y","","","","","","","","",""
"The Family Center, Inc.","48310","493 Nostrand Ave","Brooklyn","Kings","NY","11216","","The Family Center, Inc. OP","53608","Kings","493 Nostrand Ave","Brooklyn","NY","11216","","Joan Salmon","Jsalmon@thefamilycenter.org","7182301379","110","Outpatient Services","Outpatient Clinic","7182301379","171","Y","","","","","","","","",""
"The PAC Program of Brooklyn","44840","7 Debevoise St","Brooklyn","Kings","NY","11206","","The PAC Program of Brooklyn OP","52021","Kings","7 Debevoise St","Brooklyn","NY","11206","","Mr. Daniel Cruz CASAC","dcruz@thepacprogram.com","7183885950","","Outpatient Services","Outpatient Clinic","6466628431","","Y","","","","","","","","",""
"The SAFE Foundation, Inc.","45700","255 Avenue W","Brooklyn","Kings","NY","11223","5109","SAFE Foundation OP","52129","Kings","255 Avenue W","Brooklyn","NY","11223","5202","Ms. Jessica Steinmetz","jessica@thesafefoundation.org","8665697233","341","Outpatient Services","Outpatient Clinic","8665697233","315","Y","","Y","","","","","","",""
"Under Angel's Wings Recovery Center, L","52500","54th street","Brooklyn","Kings","NY","11220","2664","Under Angel's Wings Recovery Cntr OP","53732","Kings","5411 2nd Ave","Brooklyn","NY","11220","","Monika Siergiej","1underangelswings@gmail.com","7183745484","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Urban Recovery House LLC","50560","411 Van Brunt St","Brooklyn","Kings","NY","11231","","Urban Recovery House LLC IP","53294","Kings","411 Van Brunt St","Brooklyn","NY","11231","","Kai Funderberg","k.funderburg@urbanrecovery.com","6469606659","","Inpatient Treatment Services","Inpatient Rehabilitation","6469606656","","Y","","","","","","","","",""
"Urban Recovery House LLC","50560","411 Van Brunt St","Brooklyn","Kings","NY","11231","","Urban Recovery House LLC MSW-IP","53295","Kings","411 Van Brunt St","Brooklyn","NY","11231","","Kai Funderberg","k.funderburg@urbanrecovery.com","6469606659","","Crisis Services","Med Sup Withdrawal - Inpatient","","","Y","","","","","","","","",""
"Woodhull Medical/Mental Health Ctr-HHC","85180","760 Broadway","Brooklyn","Kings","NY","11206","5317","Woodhull Medical & MH Ctr-HHC OP","50911","Kings","760 Broadway","Brooklyn","NY","11206","","Mr. Ludwig Hauser LCSW","ludwig.hauser@woodhullhc.nychhc.org","7189638829","","Outpatient Services","Outpatient Clinic","7189638952","","Y","","","","","","","","",""
"Addiction Care Interventions","11490","589 Rockaway Ave","Brooklyn","New York","NY","11212","5624","Alcoholism Treatment Center OP","3489","New York","255 W 36th St","New York","NY","10018","","Mrs. Kristi Makris","Kmakris@acirehab.org","2123784545","","Outpatient Services","Outpatient Clinic","2123784545","","Y","","","","","","","","",""
"Alliance for Positive Change","48900","64 W 35th St","New York","New York","NY","10001","2201","CASA Washington Heights OP","52799","New York","2036 Amsterdam Ave","New York","NY","10032","","Dr. Peter Boutros PhD","peter3@alliance.nyc","2126450875","710","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Argus Community, Inc.","10160","160th Street","Bronx","Bronx","NY","10456","","Argus Community, Inc. COP","53926","New York","507 W 145th St","New York","NY","10031","","Latoya Chalmers LMSW","lchalmers@arguscommunity.org","2122341660","","Outpatient Services","Comprehensive Outpatient Clinic","","","Y","","","","","","2015 Madison Avenue","New York ","10035","New York"
"Argus Community, Inc.","10160","160th Street","Bronx","Bronx","NY","10456","","Mary S. Taylor Homeless Outreach RRi","53274","New York","2015-25 Madison Ave","New York","NY","10035","","Candace Johnston","cjohnston@arguscommunity.org","2126904625","","Residential Services","820 Residential Reintegration","","","","","","","","","","","",""
"Argus Community, Inc.","10160","160th Street","Bronx","Bronx","NY","10456","","Striver House RR","53612","New York","202-204 Edgecombe Ave","New York","NY","10030","","Kisha Torrence CASAC","ktorrence@arguscommunity.org","2126901900","","Residential Services","820 Rehab and Reintegration","","","","","","","","","","","",""
"Artemis Partners LLC","52920","243 W 18th St","New York","New York","NY","10011","","Mountainside Chelsea OP","53845","New York","243 W 18th St","New York","NY","10011","","Eric Gottlieb","eric.gottlieb@mountainside.com","2129316339","16600","Outpatient Services","Outpatient Clinic","2129316339","16600","Y","","","","","","","","",""
"Ascendant New York","49900","113 E 60th St","New York","New York","NY","10022","","Ascendant New York MSW-IP","53204","New York","113 E 60th St","New York","NY","10022","","Charlotte Bareiss","cbareiss@ascendantny.com","9172620003","729","Crisis Services","Med Sup Withdrawal - Inpatient","","","Y","","","","","","","","",""
"Ascendant New York","49900","113 E 60th St","New York","New York","NY","10022","","Ascendant New York OP","53264","New York","210 E 58th St","New York","NY","10022","","Charisse Ebreo","cebreo@ascendantny.com","6462816617","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Ascendant New York","49900","113 E 60th St","New York","New York","NY","10022","","Ascendant NY IP","53520","New York","113 E 60th St","New York","NY","10022","1939","Charlotte Bareiss","cbareiss@ascendantny.com","9172620003","729","Inpatient Treatment Services","Inpatient Rehabilitation","","","","","","","","","","","",""
"Bellevue Hospital Center (HHC)","85120","462 First Ave","New York","New York","NY","10016","9196","Bellevue Hospital Center (HHC) OP","51912","New York","462 1st Ave","New York","NY","10016","","Kearra Carter","Kearra.Carter@nychhc.org","2125624856","","Outpatient Services","Outpatient Clinic","2125622267","","Y","","","","","","","","",""
"Bellevue Hospital Center (HHC)","85120","462 First Ave","New York","New York","NY","10016","9196","Bellevue Hospital Center (HHC) OTP","422","New York","462 1st Ave","New York","NY","10016","","Kearra Carter","Kearra.Carter@nychhc.org","2125624856","","Outpatient Services","Opioid Outpatient Treatment","2125627344","","Y","","","","","","","","",""
"Beth Israel Medical Center","83040","125th Street","New York","New York","NY","10035","1641","Beth Israel Medical Center MMD","53138","New York","45 Rivington St","New York","NY","10002","","Ms. Karla Coronel","karla.coronel@mountsinai.org","3322431710","","Crisis Services","Medical Managed Detoxification","","","Y","","","","","","","","",""
"Beth Israel Medical Center","83040","125th Street","New York","New York","NY","10035","1641","Beth Israel Medical Center OP","53137","New York","45 Rivington St","New York","NY","10002","","Ms. Karla Coronel","karla.corone@mountsinai.org","3322431710","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Beth Israel Medical Center","83040","125th Street","New York","New York","NY","10035","1641","Beth Israel Medical Center OP R","53140","New York","45 Rivington St","New York","NY","10002","","Ms. Karla Coronel","karla.coronel@mountsinai.org","3322431710","","Outpatient Services","Outpatient Rehabilitation","","","Y","","","","","","","","",""
"Beth Israel Medical Center","83040","125th Street","New York","New York","NY","10035","1641","Clinic 1 OTP","53128","New York","103 E 125th St","New York","NY","10035","1641","Ms. Carrie Booker-Seracy","carrie.booker0seracy@mountsinai.org","2127743230","","Outpatient Services","Opioid Outpatient Treatment","","","Y","","","","","","","","",""
"Beth Israel Medical Center","83040","125th Street","New York","New York","NY","10035","1641","Clinic 8 OTP","53130","New York","140 W 125th St","New York","NY","10027","","Mrs. Latrell Curry","latrell.curry@mountsinai.org","2126364843","","Outpatient Services","Opioid Outpatient Treatment","","","Y","","","","","","","","",""
"Beth Israel Medical Center","83040","125th Street","New York","New York","NY","10035","1641","Gouverneur Clinic OTP","53125","New York","109-11 Delancey St","New York","NY","10002","3275","Ms. Marie Hardy","marie.hardy@mountsinai.org","2126142840","","Outpatient Services","Opioid Outpatient Treatment","","","Y","","","","","","","","",""
"Beth Israel Medical Center","83040","125th Street","New York","New York","NY","10035","1641","Harlem No. 2 OTP","53129","New York","103 E 125th St","New York","NY","10035","1641","Millicent Forson-Smith","beriza.lucciano@mountsinai.org","2127743200","","Outpatient Services","Opioid Outpatient Treatment","","","Y","","","","","","","","",""
"Beth Israel Medical Center","83040","125th Street","New York","New York","NY","10035","1641","Harlem No. 6/7 OTP","53135","New York","103 E 125th St","New York","NY","10035","1641","Millicent Forson-Smith","millicent.forson-smith@mountsinai.org","2127743273","","Outpatient Services","Opioid Outpatient Treatment","","","Y","","","","","","103 East 125th Street","New York","10035","New York"
"Beth Israel Medical Center","83040","125th Street","New York","New York","NY","10035","1641","MMTP Avenue A Clinic OTP","53126","New York","26 Avenue A","New York","NY","10009","7601","Ms. Marie Hardy","marie.hardy@mountsinai.org","2124202078","","Outpatient Services","Opioid Outpatient Treatment","","","Y","","","","","","","","",""
"Beth Israel Medical Center","83040","125th Street","New York","New York","NY","10035","1641","Stuyvesant Square Chem Dep Program IP","53136","New York","45 Rivington St","New York","NY","10002","","Ms. Karla Coronel","karla.coronel@mountsinai.org","3322431710","","Inpatient Treatment Services","Inpatient Rehabilitation","","","Y","","","","","","","","",""
"Bliss-Poston The Second Wind, Inc.","1823","928 Broadway","New York","New York","NY","10010","8151","Bliss-Poston The Second Wind Inc. OP","5111","New York","928 Broadway","New York","NY","10010","","Mr. John Bliss","bptsw@earthlink.net","2124811055","14","Outpatient Services","Outpatient Clinic","2124811055","40","Y","","","","","","","","",""
"Bowery Residents' Committee, Inc.","50490","127 W 25th St","New York","New York","NY","10001","","Bowery Residents' Committee, Inc. OP","50012","New York","127 W 25th St","New York","NY","10001","7207","Mr. Murray Edwards CASAC","medwards@brc.org","2125296320","8716","Outpatient Services","Outpatient Clinic","2125296320","","Y","","","","","","","","",""
